trip_distance,weekday,hour,day_rank
16.404,Monday,1.5166666666666666,1
26.12,Monday,1.15,1
15.6,Monday,1.9166666666666665,1
16.07,Monday,1.4666666666666668,1
25.04,Monday,1,1
15.35,Monday,1.45,1
20.479,Monday,1.4833333333333334,1
16.53,Monday,1.0666666666666667,1
16.17,Monday,1.75,1
15.38,Monday,2.033333333333333,1
16.891,Monday,2.7,1
25.11,Monday,2.3666666666666667,1
17.85,Monday,2.2666666666666666,1
17.369,Monday,2.9333333333333336,1
17.63,Monday,2.8166666666666664,1
20.044,Monday,2.1333333333333333,1
15.389,Monday,2.55,1
23.997,Monday,2,1
15.309,Monday,2.283333333333333,1
17.607,Monday,2.05,1
31.56,Monday,2.75,1
17.622,Monday,2.8666666666666667,1
18.585,Monday,2.85,1
15.09,Monday,2.5833333333333335,1
18.4,Monday,2.8166666666666664,1
15.48,Monday,2.2666666666666666,1
15.75,Monday,2.5166666666666666,1
16.87,Monday,2.85,1
26.79,Monday,2,1
15.198,Monday,2.2,1
17.36,Monday,2.2333333333333334,1
15.007,Monday,2.0833333333333335,1
36.294,Monday,2.1666666666666665,1
17.984,Monday,3.1,1
26.181,Monday,3.1666666666666665,1
22.317,Monday,3.3333333333333335,1
21.965,Monday,3.4333333333333336,1
16.47,Monday,3.85,1
15.32,Monday,3.85,1
16.933,Monday,3.966666666666667,1
17.62,Monday,3.9833333333333334,1
15.643,Monday,3.966666666666667,1
15.854,Monday,3.4,1
15.115,Monday,3.6166666666666667,1
15.03,Monday,3.8333333333333335,1
16.59,Monday,3.5666666666666664,1
21.72,Monday,3.0166666666666666,1
19.5,Monday,3.05,1
15.6,Monday,3.3,1
15.39,Monday,3.7,1
17.44,Monday,3.4,1
18.82,Monday,3.8833333333333333,1
15.1,Monday,4.533333333333333,1
22.72,Monday,4.533333333333333,1
17.8,Monday,4.966666666666667,1
17.25,Monday,4.85,1
15.92,Monday,4.266666666666667,1
16.71,Monday,4.85,1
16.23,Monday,4.166666666666667,1
15.432,Monday,4.55,1
19.06,Monday,4.366666666666666,1
15.98,Monday,4.316666666666666,1
15.48,Monday,4.583333333333333,1
23.48,Monday,4.35,1
15.44,Monday,4.516666666666667,1
17.227,Monday,4.266666666666667,1
15.82,Monday,4.033333333333333,1
16.25,Monday,4.95,1
16.78,Monday,4.866666666666667,1
16.475,Monday,4.383333333333334,1
17.09,Monday,4.95,1
16.27,Monday,4.75,1
15.24,Monday,4.95,1
17.05,Monday,4.833333333333333,1
15.2,Monday,4.866666666666667,1
15.27,Monday,4.966666666666667,1
20.24,Monday,4.183333333333334,1
16.4,Monday,4.833333333333333,1
18.41,Monday,4.333333333333333,1
16.93,Monday,4.95,1
16.9,Monday,4.066666666666666,1
15.4,Monday,4.033333333333333,1
24.18,Monday,4,1
16.628,Monday,5.033333333333333,1
15.71,Monday,5.566666666666666,1
15.88,Monday,5.333333333333333,1
23.89,Monday,5.116666666666666,1
17.6,Monday,5.45,1
17.28,Monday,5.45,1
16.22,Monday,5.55,1
